sampleID	genomicsSampleID
BONA_004-O-36-36-20180919	BONA_004-O-20180919-COMP
BONA_001-O-5.5-19-20180920	BONA_001-O-20180920-COMP
BONA_001-O-28-37.5-20180920	BONA_001-O-20180920-COMP
BONA_001-O-26-4.5-20180920	BONA_001-O-20180920-COMP
BONA_002-O-18.5-36-20180920	BONA_002-O-20180920-COMP
BONA_002-O-38-17.5-20180920	BONA_002-O-20180920-COMP
BONA_002-O-6-8.5-20180920	BONA_002-O-20180920-COMP
BONA_006-O-8.5-23-20180928	BONA_006-O-20180928-COMP
BONA_006-O-27.5-37.5-20180928	BONA_006-O-20180928-COMP
BONA_006-O-10-8.5-20180928	BONA_006-O-20180928-COMP
BONA_071-M-6.5-19-20190826	BONA_071-M-20190826-COMP
BONA_071-M-39-31.5-20190826	BONA_071-M-20190826-COMP
BONA_071-M-37-8.5-20190826	BONA_071-M-20190826-COMP
BONA_071-O-39-31.5-20190826	BONA_071-O-20190826-COMP
BONA_071-O-37-8.5-20190826	BONA_071-O-20190826-COMP
BONA_071-O-6.5-19-20190826	BONA_071-O-20190826-COMP
BONA_070-M-26-8.5-20190826	BONA_070-M-20190826-COMP
BONA_070-M-30-21.5-20190826	BONA_070-M-20190826-COMP
BONA_070-M-3-13.5-20190826	BONA_070-M-20190826-COMP
BONA_070-O-26-8.5-20190826	BONA_070-O-20190826-COMP
BONA_070-O-3-13.5-20190826	BONA_070-O-20190826-COMP
BONA_070-O-30-21.5-20190826	BONA_070-O-20190826-COMP
BONA_080-O-30-6-20190826	BONA_080-O-20190826-COMP
BONA_080-O-5-9-20190826	BONA_080-O-20190826-COMP
BONA_080-O-8.5-24-20190826	BONA_080-O-20190826-COMP
BONA_080-M-30-6-20190826	BONA_080-M-20190826-COMP
BONA_080-M-8.5-24-20190826	BONA_080-M-20190826-COMP
BONA_080-M-5-9-20190826	BONA_080-M-20190826-COMP
BONA_006-O-24.5-34.5-20190828	BONA_006-O-20190828-COMP
BONA_006-O-34.5-17.5-20190828	BONA_006-O-20190828-COMP
BONA_006-O-2-31.5-20190828	BONA_006-O-20190828-COMP
BONA_006-M-2-31.5-20190828	BONA_006-M-20190828-COMP
BONA_006-M-24.5-34.5-20190828	BONA_006-M-20190828-COMP
